1000, 1471166
2000, 663781
3000, 1021394
4000, 1372359
5000, 1813205
6000, 2157133
7000, 2549584
8000, 2918482
9000, 3332887
10000, 3790957
11000, 4869038
12000, 3387071
13000, 3826608
14000, 1784904
15000, 2167576
16000, 3617409
17000, 3877089
18000, 4079551
19000, 4378142
20000, 4530811
21000, 4859033
22000, 5104261
23000, 5259799
24000, 5566391
25000, 5759610
26000, 6223574
27000, 6485364
28000, 6848844
29000, 7160720
30000, 3538112
31000, 4082049
32000, 3924241
33000, 4046295
34000, 4238054
35000, 4383152
36000, 4483658
37000, 4609461
38000, 4745359
39000, 4915847
40000, 5018901
41000, 5068538
42000, 5239601
43000, 5415543
44000, 5853951
45000, 5693985
46000, 6019133
47000, 6336611
48000, 6678688
49000, 6643387
50000, 6786427
51000, 7285092
52000, 7314683
53000, 7414402
54000, 21242282
55000, 14701561
56000, 15377619
57000, 7946671
58000, 8005065
59000, 8149841
60000, 8026419
61000, 8688217
62000, 8777484
63000, 9036258
64000, 8935181
65000, 9407211
66000, 31586784
67000, 9633937
68000, 9839283
69000, 9912115
70000, 10881447
71000, 31862559
72000, 9859649
73000, 9448222
74000, 9550944
75000, 9902280
76000, 19889921
77000, 20965337
78000, 21547530
79000, 21863119
80000, 20996732
81000, 20380049
82000, 20997256
83000, 23180120
84000, 23111248
85000, 23352552
86000, 24269197
87000, 23505638
88000, 45868304
89000, 12003254
90000, 12096773
91000, 12277916
92000, 12579864
93000, 12217567
94000, 12477005
95000, 12849198
96000, 12878761
97000, 53780936
98000, 12346007
99000, 12530326
100000, 12615809
